# Path: /HepData/8707/d26-x1-y1
# Location: Fig 8
# ABS(ETARAP) : < 1 (LAB)
# PT : 0.2 - 3.0 GeV
# RE : PB PB --> CHARGED X
# SQRT(S)/NUCLEON : 2760.0 GeV
# x : N_{ch} bin center
# y : v_{2}{2} (|Delta eta| > 1.4)
# x      y      stat    sys
# 20.9   0.0590 0.00370 0.00115
47.0   0.0668 0.00167 0.00130
79.5   0.0749 7.98E-4 0.00146
119.0  0.0823 5.60E-4 0.00160
167.0  0.0884 3.58E-4 0.00172
228.0  0.0930 2.75E-4 0.00181
293.0  0.0951 2.40E-4 0.00185
358.0  0.0963 2.19E-4 0.00188
422.0  0.0968 2.05E-4 0.00189
487.0  0.0968 1.94E-4 0.00189
552.0  0.0963 1.86E-4 0.00188
617.0  0.0954 1.80E-4 0.00186
714.0  0.0936 1.23E-4 0.00182
844.0  0.0904 1.19E-4 0.00176
973.0  0.0870 1.15E-4 0.00170
1100.0 0.0832 1.13E-4 0.00162
1230.0 0.0793 1.12E-4 0.00155
1430.0 0.0730 7.94E-5 0.00142
1690.0 0.0643 7.91E-5 0.00125
1950.0 0.0552 8.06E-5 0.00108
2200.0 0.0459 8.50E-5 8.95E-4
2460.0 0.0370 9.24E-5 7.21E-4
2850.0 0.0249 8.87E-5 4.85E-4
