# Path: /HepData/8707/d42-x1-y1
# Location: Fig 11
# ABS(ETARAP) : < 1 (LAB)
# PT : 0.2 - 3.0 GeV
# RE : PB PB --> CHARGED X
# SQRT(S)/NUCLEON : 2760.0 GeV
# x : N_{ch} bin center
# y : v_{3}{2} |Delta eta| > 1.4
# x    y       stat     sys
47.0   0.00934 0.01170 2.43E-4
79.5   0.0158  0.00359 4.12E-4
119.0  0.0229  0.00184 5.96E-4
167.0  0.0234  0.00119 6.08E-4
228.0  0.0249  8.56E-4 6.48E-4
293.0  0.0262  6.93E-4 6.81E-4
358.0  0.0275  5.85E-4 7.14E-4
422.0  0.0286  5.06E-4 7.45E-4
487.0  0.0285  4.66E-4 7.41E-4
552.0  0.0289  4.27E-4 7.52E-4
617.0  0.0287  4.02E-4 7.45E-4
714.0  0.0292  2.56E-4 7.60E-4
844.0  0.0292  2.33E-4 7.60E-4
973.0  0.0284  2.20E-4 7.38E-4
1100.0 0.0283  2.05E-4 7.35E-4
1230.0 0.0275  1.99E-4 7.15E-4
1430.0 0.0279  1.33E-4 7.01E-4
1690.0 0.0253  1.30E-4 6.57E-4
1950.0 0.0243  1.25E-4 6.31E-4
2200.0 0.0226  1.27E-4 5.89E-4
2460.0 0.0216  1.27E-4 5.61E-4
2850.0 0.0190  1.05E-4 4.93E-4
